scenario,condition_name,trial_index,run_label,eventual_success,first_attempt_success,attempts,corrected_attempts,runtime_ms,attempt_value,rolling_attempts,runtime_ms_value,rolling_runtime_ms,cumulative_success_rate,cumulative_first_attempt_rate
maze,baseline_raw,1,maze_baseline_raw_001,True,True,1,,29262,1,1.0,29262,29262.0,1.0,1.0
maze,baseline_raw,2,maze_baseline_raw_002,True,True,1,,29142,1,1.0,29142,29202.0,1.0,1.0
maze,baseline_raw,3,maze_baseline_raw_003,True,True,1,,29103,1,1.0,29103,29169.0,1.0,1.0
maze,baseline_raw,4,maze_baseline_raw_004,True,True,1,,29251,1,1.0,29251,29165.333333333332,1.0,1.0
maze,baseline_raw,5,maze_baseline_raw_005,True,True,1,,29609,1,1.0,29609,29321.0,1.0,1.0
maze,baseline_raw,6,maze_baseline_raw_006,True,True,1,,29124,1,1.0,29124,29328.0,1.0,1.0
maze,baseline_raw,7,maze_baseline_raw_007,True,True,1,,29086,1,1.0,29086,29273.0,1.0,1.0
maze,baseline_raw,8,maze_baseline_raw_008,True,True,1,,29221,1,1.0,29221,29143.666666666668,1.0,1.0
maze,baseline_raw,9,maze_baseline_raw_009,True,True,1,,28991,1,1.0,28991,29099.333333333332,1.0,1.0
maze,baseline_raw,10,maze_baseline_raw_010,True,True,1,,29163,1,1.0,29163,29125.0,1.0,1.0
maze,baseline_raw,11,maze_baseline_raw_011,True,True,1,,29048,1,1.0,29048,29067.333333333332,1.0,1.0
maze,baseline_raw,12,maze_baseline_raw_012,True,True,1,,29198,1,1.0,29198,29136.333333333332,1.0,1.0
maze,baseline_raw,13,maze_baseline_raw_013,True,True,1,,29079,1,1.0,29079,29108.333333333332,1.0,1.0
maze,baseline_raw,14,maze_baseline_raw_014,True,True,1,,29135,1,1.0,29135,29137.333333333332,1.0,1.0
maze,baseline_raw,15,maze_baseline_raw_015,True,True,1,,29214,1,1.0,29214,29142.666666666668,1.0,1.0
maze,baseline_raw,16,maze_baseline_raw_016,True,True,1,,28929,1,1.0,28929,29092.666666666668,1.0,1.0
maze,baseline_raw,17,maze_baseline_raw_017,True,True,1,,29245,1,1.0,29245,29129.333333333332,1.0,1.0
maze,baseline_raw,18,maze_baseline_raw_018,True,True,1,,29101,1,1.0,29101,29091.666666666668,1.0,1.0
maze,baseline_raw,19,maze_baseline_raw_019,True,True,1,,29138,1,1.0,29138,29161.333333333332,1.0,1.0
maze,baseline_raw,20,maze_baseline_raw_020,True,True,1,,29140,1,1.0,29140,29126.333333333332,1.0,1.0
maze,baseline_raw,21,maze_baseline_raw_021,True,True,1,,29192,1,1.0,29192,29156.666666666668,1.0,1.0
maze,baseline_raw,22,maze_baseline_raw_022,True,True,1,,29223,1,1.0,29223,29185.0,1.0,1.0
maze,baseline_raw,23,maze_baseline_raw_023,True,True,1,,29268,1,1.0,29268,29227.666666666668,1.0,1.0
maze,baseline_raw,24,maze_baseline_raw_024,True,True,1,,29251,1,1.0,29251,29247.333333333332,1.0,1.0
maze,baseline_raw,25,maze_baseline_raw_025,True,True,1,,29167,1,1.0,29167,29228.666666666668,1.0,1.0
maze,raw_memory,1,maze_raw_memory_001,True,True,1,,29422,1,1.0,29422,29422.0,1.0,1.0
maze,raw_memory,2,maze_raw_memory_002,True,True,1,,19365,1,1.0,19365,24393.5,1.0,1.0
maze,raw_memory,3,maze_raw_memory_003,True,True,1,,19497,1,1.0,19497,22761.333333333332,1.0,1.0
maze,raw_memory,4,maze_raw_memory_004,True,True,1,,19678,1,1.0,19678,19513.333333333332,1.0,1.0
maze,raw_memory,5,maze_raw_memory_005,True,True,1,,19360,1,1.0,19360,19511.666666666668,1.0,1.0
maze,raw_memory,6,maze_raw_memory_006,True,True,1,,19340,1,1.0,19340,19459.333333333332,1.0,1.0
maze,raw_memory,7,maze_raw_memory_007,True,True,1,,19505,1,1.0,19505,19401.666666666668,1.0,1.0
maze,raw_memory,8,maze_raw_memory_008,True,True,1,,19499,1,1.0,19499,19448.0,1.0,1.0
maze,raw_memory,9,maze_raw_memory_009,True,True,1,,19312,1,1.0,19312,19438.666666666668,1.0,1.0
maze,raw_memory,10,maze_raw_memory_010,True,True,1,,19483,1,1.0,19483,19431.333333333332,1.0,1.0
maze,raw_memory,11,maze_raw_memory_011,True,True,1,,19424,1,1.0,19424,19406.333333333332,1.0,1.0
maze,raw_memory,12,maze_raw_memory_012,True,True,1,,19448,1,1.0,19448,19451.666666666668,1.0,1.0
maze,raw_memory,13,maze_raw_memory_013,True,True,1,,19325,1,1.0,19325,19399.0,1.0,1.0
maze,raw_memory,14,maze_raw_memory_014,True,True,1,,19343,1,1.0,19343,19372.0,1.0,1.0
maze,raw_memory,15,maze_raw_memory_015,True,True,1,,19361,1,1.0,19361,19343.0,1.0,1.0
maze,raw_memory,16,maze_raw_memory_016,True,True,1,,19377,1,1.0,19377,19360.333333333332,1.0,1.0
maze,raw_memory,17,maze_raw_memory_017,True,True,1,,19341,1,1.0,19341,19359.666666666668,1.0,1.0
maze,raw_memory,18,maze_raw_memory_018,True,True,1,,19505,1,1.0,19505,19407.666666666668,1.0,1.0
maze,raw_memory,19,maze_raw_memory_019,True,True,1,,19447,1,1.0,19447,19431.0,1.0,1.0
maze,raw_memory,20,maze_raw_memory_020,True,True,1,,19299,1,1.0,19299,19417.0,1.0,1.0
maze,raw_memory,21,maze_raw_memory_021,True,True,1,,19376,1,1.0,19376,19374.0,1.0,1.0
maze,raw_memory,22,maze_raw_memory_022,True,True,1,,19464,1,1.0,19464,19379.666666666668,1.0,1.0
maze,raw_memory,23,maze_raw_memory_023,True,True,1,,19447,1,1.0,19447,19429.0,1.0,1.0
maze,raw_memory,24,maze_raw_memory_024,True,True,1,,19386,1,1.0,19386,19432.333333333332,1.0,1.0
maze,raw_memory,25,maze_raw_memory_025,True,True,1,,19516,1,1.0,19516,19449.666666666668,1.0,1.0
maze,distilled_memory,1,maze_distilled_memory_001,True,True,1,,30345,1,1.0,30345,30345.0,1.0,1.0
maze,distilled_memory,2,maze_distilled_memory_002,True,True,1,,19947,1,1.0,19947,25146.0,1.0,1.0
maze,distilled_memory,3,maze_distilled_memory_003,True,True,1,,20126,1,1.0,20126,23472.666666666668,1.0,1.0
maze,distilled_memory,4,maze_distilled_memory_004,True,True,1,,20425,1,1.0,20425,20166.0,1.0,1.0
maze,distilled_memory,5,maze_distilled_memory_005,True,True,1,,20663,1,1.0,20663,20404.666666666668,1.0,1.0
maze,distilled_memory,6,maze_distilled_memory_006,True,True,1,,20415,1,1.0,20415,20501.0,1.0,1.0
maze,distilled_memory,7,maze_distilled_memory_007,True,True,1,,19587,1,1.0,19587,20221.666666666668,1.0,1.0
maze,distilled_memory,8,maze_distilled_memory_008,True,True,1,,20030,1,1.0,20030,20010.666666666668,1.0,1.0
maze,distilled_memory,9,maze_distilled_memory_009,True,True,1,,19659,1,1.0,19659,19758.666666666668,1.0,1.0
maze,distilled_memory,10,maze_distilled_memory_010,True,True,1,,20104,1,1.0,20104,19931.0,1.0,1.0
maze,distilled_memory,11,maze_distilled_memory_011,True,True,1,,20476,1,1.0,20476,20079.666666666668,1.0,1.0
maze,distilled_memory,12,maze_distilled_memory_012,True,True,1,,19845,1,1.0,19845,20141.666666666668,1.0,1.0
maze,distilled_memory,13,maze_distilled_memory_013,True,True,1,,20442,1,1.0,20442,20254.333333333332,1.0,1.0
maze,distilled_memory,14,maze_distilled_memory_014,True,True,1,,19925,1,1.0,19925,20070.666666666668,1.0,1.0
maze,distilled_memory,15,maze_distilled_memory_015,True,True,1,,20382,1,1.0,20382,20249.666666666668,1.0,1.0
maze,distilled_memory,16,maze_distilled_memory_016,True,True,1,,20114,1,1.0,20114,20140.333333333332,1.0,1.0
maze,distilled_memory,17,maze_distilled_memory_017,True,True,1,,19945,1,1.0,19945,20147.0,1.0,1.0
maze,distilled_memory,18,maze_distilled_memory_018,True,True,1,,20002,1,1.0,20002,20020.333333333332,1.0,1.0
maze,distilled_memory,19,maze_distilled_memory_019,True,True,1,,19899,1,1.0,19899,19948.666666666668,1.0,1.0
maze,distilled_memory,20,maze_distilled_memory_020,True,True,1,,20611,1,1.0,20611,20170.666666666668,1.0,1.0
maze,distilled_memory,21,maze_distilled_memory_021,True,True,1,,20206,1,1.0,20206,20238.666666666668,1.0,1.0
maze,distilled_memory,22,maze_distilled_memory_022,True,True,1,,20515,1,1.0,20515,20444.0,1.0,1.0
maze,distilled_memory,23,maze_distilled_memory_023,True,True,1,,20304,1,1.0,20304,20341.666666666668,1.0,1.0
maze,distilled_memory,24,maze_distilled_memory_024,True,True,1,,20314,1,1.0,20314,20377.666666666668,1.0,1.0
maze,distilled_memory,25,maze_distilled_memory_025,True,True,1,,20582,1,1.0,20582,20400.0,1.0,1.0
