scenario,metric,baseline_raw,raw_memory,distilled_memory,distilled_vs_raw_verdict
lever,eventual_success_rate,1,1,1,tie
lever,first_attempt_success_rate,0.155,0.995,0.995,tie
lever,mean_attempts,3.48,1.01,1.01,tie
lever,mean_runtime_ms,12969.485,4351.185,4330.835,better
lever,avg_cpu_percent,1.305815,3.636765,7.40867,worse
lever,max_cpu_percent,6.18009,13.20578,35.69917,worse
lever,avg_rss_mb,212.533255,217.1661,190.79323,better
lever,max_rss_mb,254.05827,262.75376,238.37352,better
lever,avg_gpu_util_percent,52.555185,24.37247,24.378885,worse
lever,avg_vram_used_mb,5272.945325,4271,4271.001665,worse
maze,eventual_success_rate,1,1,1,tie
maze,first_attempt_success_rate,1,1,1,tie
maze,mean_attempts,1,1,1,tie
maze,mean_runtime_ms,29125.68,19734.815,19412.505,better
maze,avg_cpu_percent,0.42757,1.05206,1.684025,worse
maze,max_cpu_percent,7.14253,11.447385,24.956565,worse
maze,avg_rss_mb,221.848045,231.74179,236.99983,worse
maze,max_rss_mb,260.113615,270.02404,267.817585,better
maze,avg_gpu_util_percent,24.127985,29.138855,29.10055,better
maze,avg_vram_used_mb,4271,4209.207415,4206.134385,better
key,eventual_success_rate,0.995,0.005,1,better
key,first_attempt_success_rate,0.6,0,0,tie
key,mean_attempts,1.67,5.98,2.005,better
key,mean_runtime_ms,16508.625,34509.91,8474.25,better
key,avg_cpu_percent,0.779425,1.826975,4.14843,worse
key,max_cpu_percent,5.11115,8.090595,23.842715,worse
key,avg_rss_mb,231.20091,259.032605,197.811345,better
key,max_rss_mb,276.419295,280.833405,236.730155,better
key,avg_gpu_util_percent,29.84249,29.47427,30.38254,worse
key,avg_vram_used_mb,4208.923435,4209.166725,4209.18702,worse